,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Yaan,13,NG,1577896443,18,7.38,8.57,83.59,4.94
374,Atar,81,MR,1577896444,16,20.52,-13.05,75.2,23.04
375,Husavik,100,CA,1577896446,88,50.56,-96.99,18.0,7.09
376,Puerto Ayacucho,90,CO,1577896447,55,5.66,-67.63,89.6,14.99
377,Auki,32,NG,1577896448,18,12.18,6.51,67.66,11.18
378,Road Town,40,VG,1577896347,74,18.42,-64.62,84.2,9.17
379,Bathsheba,20,BB,1577896450,58,13.22,-59.52,86.0,13.87
380,Abu Kamal,18,SY,1577896451,54,34.45,40.92,52.99,3.04
381,Sola,100,TZ,1577896452,79,-3.17,33.8,68.85,4.21
382,Chuguyevka,0,RU,1577896453,89,44.17,133.87,-9.69,3.76
383,Kokoda,76,PG,1577896455,91,-8.88,147.74,62.15,1.81
384,Dhidhdhoo,0,MV,1577896456,77,6.88,73.1,81.93,8.86
385,Dingle,41,PH,1577896457,96,11.0,122.67,73.47,9.95
386,Lichinga,75,MZ,1577896458,83,-13.3,35.25,71.6,3.11
387,Ciudad Bolivar,93,VE,1577896459,33,8.12,-63.55,91.08,9.19
388,Kazachinskoye,97,RU,1577896460,90,57.69,93.28,18.14,7.67
389,Porto Novo,75,BR,1577896462,41,-23.68,-45.44,91.4,4.7
390,Mumford,56,GH,1577896463,67,5.26,-0.76,80.08,7.05
391,Kyren,63,RU,1577896464,71,51.68,102.13,7.9,7.61
392,Miri,0,NG,1577896465,22,10.31,9.75,68.5,7.99
393,Baghdad,17,IQ,1577896254,66,33.3,44.38,51.8,4.7
394,Peniche,34,PT,1577896467,71,39.36,-9.38,59.0,6.93
395,Flic en Flac,75,MU,1577896468,83,-20.27,57.36,80.6,2.95
396,Linfen,43,CN,1577896469,39,36.09,111.52,33.66,0.94
397,Owando,98,CG,1577896470,56,-0.49,15.91,82.54,3.15
398,Metro,100,ID,1577896472,95,-5.11,105.31,74.34,7.92
399,Ribeira Grande,40,PT,1577896473,67,38.52,-28.7,62.6,19.46
400,Daru,93,PG,1577896474,91,-9.07,143.21,75.34,1.83
401,Chernyshkovskiy,100,RU,1577896475,96,48.42,42.23,33.46,13.67
402,Wahpeton,100,US,1577896476,86,46.27,-96.61,30.99,10.29
403,Pithoragarh,100,IN,1577896477,81,29.59,80.22,42.82,1.61
404,Manta,0,RO,1577896478,69,45.1,24.1,29.79,4.97
405,Opuwo,79,NA,1577896479,49,-18.06,13.84,79.32,5.7
406,Turukhansk,100,RU,1577896481,92,65.8,87.96,3.07,14.36
407,Karratha,54,AU,1577896482,87,-20.74,116.85,83.39,14.99
408,Hongjiang,97,CN,1577896483,88,27.21,109.83,48.02,1.92
409,Petropavlovsk-Kamchatskiy,90,RU,1577896484,92,53.05,158.65,26.6,6.71
410,Hambantota,20,LK,1577896485,100,6.12,81.12,78.8,3.36
411,Yegros,23,PY,1577896486,37,-26.46,-56.4,94.19,11.61
412,Tete,40,MZ,1577896285,79,-16.16,33.59,84.2,8.05
413,Kutum,0,SD,1577896488,18,14.2,24.66,69.96,6.33
414,Blackfoot,90,US,1577896446,86,43.19,-112.35,33.01,17.22
415,Cordeiro,92,BR,1577896491,75,-22.03,-42.36,77.86,4.85
416,Bambous Virieux,75,MU,1577896492,83,-20.34,57.76,80.6,4.88
417,Manbij,40,SY,1577896493,93,36.53,37.96,42.8,1.77
418,Changqing,90,CN,1577896494,80,31.81,117.24,41.0,2.24
419,Assiniboia,100,CA,1577896495,93,49.63,-105.99,28.85,6.96
420,Dwarka,20,IN,1577896496,87,28.58,77.04,57.0,5.1
421,Amlame,65,TG,1577896497,16,7.47,0.9,81.54,2.82
422,Shitanjing,83,CN,1577896498,58,39.23,106.34,24.19,3.85
423,Saint-Augustin,90,CA,1577896499,90,45.63,-73.98,35.01,9.17
424,Eyl,0,SO,1577896501,80,7.98,49.82,79.7,18.57
425,Madera,1,US,1577896502,93,36.96,-120.06,46.0,3.36
426,Kuytun,96,RU,1577896503,96,54.34,101.51,3.11,5.17
427,Batemans Bay,0,AU,1577896504,86,-35.71,150.18,46.99,2.77
428,Ola,100,RU,1577896505,76,59.58,151.3,12.97,42.12
429,Riyadh,66,SA,1577896506,33,24.63,46.72,62.6,6.93
430,Sancti Spiritus,5,CU,1577896507,64,21.93,-79.44,82.06,4.34
431,Springdale,1,US,1577896508,31,36.19,-94.13,50.0,19.46
432,Inhambane,20,MZ,1577896510,70,-23.87,35.38,84.2,6.93
433,Iskateley,38,RU,1577896511,91,67.68,53.15,9.91,10.47
434,Grand Gaube,75,MU,1577896512,83,-20.01,57.66,80.6,2.33
435,Gamba,98,CN,1577896513,49,28.28,88.52,9.45,3.38
436,Tateyama,99,JP,1577896514,86,36.66,137.31,41.0,1.99
437,Vostok,100,RU,1577896515,96,46.45,135.83,-13.85,8.32
438,Axim,84,GH,1577896516,65,4.87,-2.24,81.82,5.97
439,Drumheller,100,CA,1577896517,56,51.47,-112.7,28.99,4.99
440,Amilly,90,FR,1577896518,100,47.98,2.77,44.01,6.93
441,Egvekinot,0,RU,1577896520,84,66.32,-179.17,-22.76,10.47
442,Ginda,100,IN,1577896521,36,30.69,78.49,40.01,4.29
443,Pasighat,100,IN,1577896522,60,28.06,95.33,63.03,5.01
444,Ulladulla,90,AU,1577896523,93,-35.36,150.48,59.0,5.82
445,Tahoua,0,NE,1577896524,16,14.89,5.26,75.2,18.34
446,Balsas,97,BR,1577896525,74,-7.53,-46.04,82.62,6.35
447,Omboue,95,GA,1577896526,87,-1.57,9.26,78.57,3.13
448,Phan Thiet,57,VN,1577896527,80,10.93,108.1,67.86,3.65
449,Raudeberg,75,NO,1577896529,93,61.99,5.14,45.0,33.33
450,Otukpo,1,NG,1577896530,17,7.19,8.13,84.29,4.14
451,Christchurch,85,NZ,1577896242,100,-43.53,172.64,60.01,2.24
452,Saint Anthony,90,US,1577896532,85,43.97,-111.68,30.99,4.45
453,Buta,84,CD,1577896533,42,2.79,24.73,79.21,1.16
454,Ellisras,28,ZA,1577896534,49,-23.67,27.74,82.78,5.08
455,Janakpur,100,NP,1577896535,60,26.73,85.92,60.24,0.11
456,Marsh Harbour,33,BS,1577896536,61,26.54,-77.06,73.27,9.01
457,Fukue,40,JP,1577896537,65,35.03,136.69,46.4,16.11
458,Emerald,0,AU,1577896539,61,-23.53,148.16,80.6,9.17
459,Abnub,100,EG,1577896540,54,27.27,31.15,59.0,11.41
460,Lavrentiya,5,RU,1577896541,86,65.58,-170.99,-17.7,14.0
461,Kamaishi,0,JP,1577896542,54,39.28,141.86,30.79,29.15
462,Hovd,40,NO,1577896543,57,63.83,10.7,50.0,21.92
463,Vardo,20,US,1577896544,41,39.62,-77.74,45.0,13.87
464,Saint-Pierre,90,FR,1577896545,91,48.95,4.24,33.8,5.82
465,Bowling Green,1,US,1577896546,48,36.99,-86.44,46.0,6.93
466,Westport,75,US,1577896548,51,41.14,-73.36,41.0,16.11
467,Bam,43,IR,1577896549,37,29.11,58.36,56.07,1.48
468,Acajutla,95,SV,1577896550,63,13.59,-89.83,78.01,3.0
469,Japura,100,ID,1577896551,96,-0.42,102.29,74.68,1.57
470,Hrob,0,CZ,1577896552,71,50.66,13.73,37.4,4.7
471,Khandbari,100,NP,1577896553,38,27.38,87.21,34.57,3.58
472,Lashio,100,MM,1577896554,94,22.93,97.75,55.18,2.1
473,Menfi,20,IT,1577896555,62,37.61,12.97,57.0,8.05
474,Dhanaula,100,IN,1577896556,46,30.85,76.34,52.36,2.48
475,Pontianak,100,ID,1577896558,95,-0.02,109.34,74.7,1.14
476,Nouadhibou,100,MR,1577896559,28,20.93,-17.03,73.4,8.05
477,Hadgaon,92,IN,1577896560,75,19.5,77.66,69.71,9.75
478,Arcachon,90,FR,1577896561,81,44.65,-1.18,51.8,5.82
479,Mantua,0,IT,1577896562,70,45.16,10.79,46.99,1.12
480,Kamiiso,91,JP,1577896563,88,41.82,140.65,15.37,15.75
481,Sovetskiy,63,RU,1577896564,95,56.76,48.47,7.97,6.62
482,Ribeira Brava,20,PT,1577896566,64,32.65,-17.07,68.0,13.87
483,Bulgan,1,MN,1577896567,73,48.81,103.53,3.9,3.29
484,Andros Town,75,BS,1577896568,73,24.73,-77.79,77.0,9.17
485,Garmsar,10,IR,1577896569,52,35.22,52.34,49.28,6.73
486,Pisco,20,PE,1577896570,30,-13.71,-76.2,75.0,10.29
487,Ajdabiya,55,LY,1577896571,62,30.75,20.22,55.15,2.04
488,Nauta,100,PE,1577896572,82,-4.51,-73.58,83.66,3.69
489,Beni Mazar,100,EG,1577896574,54,28.5,30.8,54.45,5.61
490,Urusha,52,RU,1577896575,90,54.05,122.9,-16.85,2.62
491,Tekeli,0,KZ,1577896576,35,44.86,78.76,15.51,7.56
492,Cayenne,20,GF,1577896577,58,4.94,-52.33,86.0,13.87
493,Algiers,75,US,1577896578,50,29.94,-90.04,59.0,5.82
494,Pundaguitan,46,PH,1577896579,82,6.37,126.17,79.86,12.82
495,Udachnyy,1,RU,1577896580,83,66.42,112.4,-4.0,4.47
496,Zhigansk,0,RU,1577896581,95,66.77,123.37,-34.06,6.87
497,Beringovskiy,0,RU,1577896583,88,63.05,179.32,-15.14,14.36
498,Reconquista,0,AR,1577896584,32,-29.14,-59.64,93.97,12.39
499,Quatre Cocos,75,MU,1577896585,83,-20.21,57.76,80.6,3.74
500,Imbituba,20,BR,1577896586,66,-28.24,-48.67,89.6,8.05
501,Teknaf,39,BD,1577896587,96,20.86,92.31,65.16,2.15
502,Aykhal,0,RU,1577896588,83,65.95,111.51,-4.0,4.47
503,Csengod,0,HU,1577896589,87,46.72,19.27,35.01,2.26
504,Elliot Lake,75,CA,1577896590,68,46.37,-82.65,26.6,19.46
505,Kupang,90,ID,1577896592,100,-10.16,123.6,75.2,3.31
506,Sosva,99,RU,1577896593,92,59.17,61.86,6.49,2.91
507,Tabou,76,CI,1577896594,75,4.42,-7.36,81.32,6.69
508,Dumas,4,IN,1577896595,82,21.09,72.71,68.0,5.28
509,Sechura,28,PE,1577896596,90,-5.56,-80.82,70.23,14.09
510,Tawau,75,MY,1577896597,88,4.26,117.89,77.0,3.36
511,Gangakher,29,IN,1577896598,72,18.95,76.75,71.15,9.17
512,San Eugenio,60,AR,1577896599,49,-32.08,-61.12,88.0,8.01
513,Dali,0,CN,1577896600,43,34.79,109.94,31.51,4.29
514,Kalaleh,0,IR,1577896602,61,37.38,55.49,46.4,4.7
515,Pampierstad,87,ZA,1577896603,41,-27.78,24.69,80.22,9.82
516,Fare,100,PF,1577896604,80,-16.7,-151.02,80.89,16.96
517,Tucupita,52,VE,1577896605,51,9.06,-62.05,88.39,6.24
518,Kulhudhuffushi,0,MV,1577896606,78,6.62,73.07,81.81,9.37
519,Ludza,90,LV,1577896607,89,56.55,27.72,33.1,13.2
520,La Union,67,GT,1577896609,70,14.97,-89.29,78.01,1.01
521,Sangmelima,63,CM,1577896610,48,2.93,11.98,78.4,3.4
522,Muros,28,ES,1577896611,57,42.77,-9.06,52.0,2.24
523,San Quintin,51,PH,1577896612,78,17.54,120.52,70.66,6.8
524,Razdolnoye,23,RU,1577896613,87,43.7,44.53,33.8,4.47
525,Havelock,1,US,1577896615,46,34.88,-76.9,55.99,13.87
526,Sao Joao da Barra,20,BR,1577896397,52,-21.64,-41.05,87.8,16.11
527,Ust-Tarka,100,RU,1577896617,93,55.56,75.71,23.45,11.48
528,Nyurba,97,RU,1577896618,95,63.29,118.35,-28.17,1.88
529,Tahe,0,CN,1577896619,77,52.34,124.71,-7.37,5.17
530,North Platte,1,US,1577896464,73,41.12,-100.77,33.01,5.82
